#===========================================================================================
#  DOMAIN MAPPER v2.0.2
#  Johns Hopkins Univeristy - January 19th, 2022
#  Edgar Manriquez-Sandoval, B.S. - Dept. of Biophysics
#  emanriq1@jhu.edu
#  & 
#  Stephen D. Fried, Ph.D. - Dept. of Chemistry
#  sdfried@jhu.edu
#===========================================================================================
#  Excecuted on:
#               2022-01-20 13:12:54.094479
#  Input HMM: 
#               Thermus.hmm.out
#  Output:
#               Thermus.mapped.tsv
#  Options:
#               Intra domain gap = 35
#               Inter domain gap = 20
#               overlap = 15
#               E-value cutoff = 1.00e-05
#  Domain Counts:
#               Total Proteins:   2201         Total Domains:    2984
#                                                        NC :  97 (3.25%)
#                                                        CP :   1 (0.03%)
#                                                        IS :  44 (1.47%)
#  Property Definitions:
#               CP = Circular Permutant Domain
#               NC = Non-Contiguous Domain
#               IS = InSertional Domain
#===========================================================================================
# Accession	E-Value	Residue Range	Property	Architecture	X-group	T-group	F-group	F-id
sp|Q72L49|Y214_THET2	1.7e-80	4-190		a/b three-layered sandwiches	Hypothetical protein TT1679	Hypothetical protein TT1679	DUF436	7547.1.1.2	
sp|Q72JJ7|RNJ_THET2	8.6e-26	343-472		a+b four layers	Metallo-hydrolase/oxidoreductase	Metallo-hydrolase/oxidoreductase	Lactamase_B_6_1	247.1.1.40	
sp|Q72JJ7|RNJ_THET2	3.0e-24	480-572		a+b complex topology	Flagellar protein FlgA N-terminal domain-like	RNase J C-terminal domain	RnjA	3068.2.1.1	
sp|P62442|RL11_THET2	5.2e-35	2-69		a+b two layers	Ribosomal protein L11/L12e N-terminal domain-like	Ribosomal protein L11/L12e N-terminal domain	Ribosomal_L11_N	3781.1.1.1	
sp|P62442|RL11_THET2	8.4e-37	71-139		alpha arrays	HTH	Ribosomal protein L11, C-terminal domain	Ribosomal_L11	101.1.16.1	
sp|P62661|RS20_THET2	1.3e-29	11-91		alpha bundles	Spectrin repeat-like	Ribosomal protein S20	Ribosomal_S20p	604.9.1.3	
sp|Q72HB4|YF81_THET2	2.2e-23	8-107		a+b two layers	Dodecin subunit-like	YbjQ-like	YbjQ_1	872.3.1.2	
sp|Q72HB4|YF81_THET2	7.6e-06	51-69		a+b two layers	GP2-like	GP2	RNA_pol_inhib	3115.2.1.1	
sp|Q72JU7|RIMM_THET2	9.4e-13	2-78		beta barrels	cradle loop barrel	Alanine racemase-C	RimM	1.1.7.32	
sp|Q72JU7|RIMM_THET2	3.8e-15	89-156		beta barrels	SH3	PRC-barrel domain	PRC	4.6.1.2	
sp|P62657|RS15_THET2	2.4e-46	3-88		alpha arrays	S15/NS1 RNA-binding domain	S15/NS1 RNA-binding domain	Ribosomal_S15_1	616.1.1.19	
sp|Q72LM0|PANB_THET2	1.1e-112	10-261		a/b barrels	TIM beta/alpha-barrel	TIM barrels	Pantoate_transf	2002.1.1.143	
sp|Q72LI2|RNPA_THET2	8.1e-22	66-159		a+b two layers	Ribosomal protein S5 domain 2-like	Ribosomal protein S5 domain 2-like	Ribonuclease_P	212.1.1.15	
sp|P61537|RUVB_THET2	1.3e-26	22-174		a/b three-layered sandwiches	P-loop domains-like	P-loop containing nucleoside triphosphate hydrolases	Sigma54_activat	2004.1.1.190	
sp|P61537|RUVB_THET2	7.8e-29	180-251		alpha arrays	Histone-like	AAA+ ATPase lid domain	RuvB_N	148.1.3.65	
sp|P61537|RUVB_THET2	7.4e-33	256-324		alpha arrays	HTH	winged	RuvB_C	101.1.2.124	
sp|Q72GZ9|RUVA_THET2	4.4e-20	2-62		beta barrels	OB-fold	Nucleic acid-binding proteins	RuvA_N	2.1.1.50	
sp|Q72GZ9|RUVA_THET2	2.6e-15	70-132		alpha arrays	HhH/H2TH	SAM domain-like	HHH_5	102.1.1.14	
sp|Q72GZ9|RUVA_THET2	6.3e-18	144-191		alpha arrays	RuvA-C	RuvA-C, UBA, CRAL/TRIO-N, HBS1	RuvA_C	103.1.1.7	
sp|P62669|RS9_THET2	9.9e-64	2-128		a+b two layers	Ribosomal protein S5 domain 2-like	Ribosomal protein S5 domain 2-like	Ribosomal_S9	212.1.1.101	
sp|Q72JK8|SPEBH_THET2	1.9e-69	17-277		a/b three-layered sandwiches	HAD domain-like	Arginase/deacetylase	Arginase	2006.1.5.2	
sp|Q72GT4|PURA_THET2	2.2e-156	5-401		a/b three-layered sandwiches	P-loop domains-like	P-loop containing nucleoside triphosphate hydrolases	Adenylsucc_synt	2004.1.1.44	
sp|Q72I96|RECR_THET2	4.0e-18	4-47		alpha arrays	HhH/H2TH	SAM domain-like	HHH_10	102.1.1.225	
sp|Q72I96|RECR_THET2	1.6e-43	79-184		a/b three-layered sandwiches	HAD domain-like	Toprim domain	Toprim_4	2006.1.3.26	
sp|P54903|PROA_THET2	1.7e-33	9-218		a/b three-layered sandwiches	ALDH-like	ALDH-like	Aldedh_1st_1	7524.1.1.2	
sp|P54903|PROA_THET2	8.2e-13	223-406		a/b three-layered sandwiches	ALDH-like	ALDH-like	Aldedh_2nd	7524.1.1.1	
sp|Q72KU0|PYRB_THET2	1.8e-48	1-146		a/b three-layered sandwiches	Rossmann-like	Aspartate/ornithine carbamoyltransferase	OTCace_N	2003.1.14.2	
sp|Q72KU0|PYRB_THET2	4.2e-46	150-296		a/b three-layered sandwiches	Rossmann-like	Aspartate/ornithine carbamoyltransferase	OTCace	2003.1.14.1	
sp|Q72KU3|PYRD_THET2	2.1e-92	45-344		a/b barrels	TIM beta/alpha-barrel	TIM barrels	DHO_dh	2002.1.1.39	
sp|Q746B8|PXPA_THET2	5.0e-102	1-240		a/b barrels	TIM beta/alpha-barrel	Glycoside hydrolase/deacetylase	LamB_YcsF	2002.3.1.6	
sp|Q72I39|REX_THET2	1.6e-31	3-76		alpha arrays	HTH	winged	Put_DNA-bind_N	101.1.2.107	
sp|Q72I39|REX_THET2	3.4e-42	80-199		a/b three-layered sandwiches	Rossmann-like	NAD(P)-binding Rossmann-fold domains	CoA_binding_1	2003.1.1.107	
sp|Q72I23|RL15_THET2	9.6e-47	1-144		a/b three-layered sandwiches	Ribosomal protein L13/L15p/L18e/L32e	Ribosomal proteins L15p and L18e	Ribosomal_L27A	2490.3.1.4	
sp|Q72GS1|RL10_THET2	1.0e-34	7-127		a+b two layers	Alpha-beta plaits	Ribosomal protein L10-like	Ribosomal_L10	304.60.1.11	
sp|Q72L77|RL35_THET2	1.8e-20	6-63		a+b two layers	Ribosomal protein L35p	Ribosomal protein L35p	Ribosomal_L35p	4281.1.1.1	
sp|Q72I32|RPOA_THET2	5.5e-07	11-56		a+b two layers	DCoH-like	RBP11-like subunits of RNA polymerase	RNA_pol_L_1	305.1.1.3	
sp|Q72I32|RPOA_THET2	4.7e-45	50-171		a+b complex topology	Ribosomal protein TL5/L25 C-terminal domain-like	Insert subdomain of RNA polymerase alpha subunit	RNA_pol_A_bac	240.2.1.3	
sp|Q72I32|RPOA_THET2	1.6e-19	255-310		alpha arrays	HhH/H2TH	SAM domain-like	RNA_pol_A_CTD	102.1.1.25	
sp|P61502|SODM_THET2	1.2e-39	5-93		alpha bundles	Long alpha-hairpin	Fe,Mn superoxide dismutase (SOD), N-terminal domain	Sod_Fe_N	192.3.1.1	
sp|P61502|SODM_THET2	7.2e-47	98-202		a+b three layers	Fe,Mn superoxide dismutase (SOD)-C	Fe,Mn superoxide dismutase (SOD)-C	Sod_Fe_C	228.1.1.1	
sp|Q72KB0|SYC_THET2	1.8e-26	31-320		alpha bundles	Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases	Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases	tRNA-synt_1g	140.1.1.17	
sp|Q72KB0|SYC_THET2	3.7e-31	352-477		alpha bundles	Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases	Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases	DALR_2_1	140.1.1.9	
sp|P96076|PYRF_THET2	7.7e-53	10-240		a/b barrels	TIM beta/alpha-barrel	TIM barrels	OMPdecase	2002.1.1.140	
sp|Q72I65|TRUA_THET2	2.1e-83	1-250		a+b two layers	Alpha-beta plaits	Pseudouridine synthase	PseudoU_synth_1	304.102.1.2	
sp|P62654|RS11_THET2	6.9e-52	11-124		mixed a+b and a/b	Ribonuclease H-like	Ribonuclease H-like	Ribosomal_S11	2484.1.1.49	
sp|P62658|RS17_THET2	6.1e-40	3-78		beta barrels	OB-fold	Nucleic acid-binding proteins	Ribosomal_S17_1	2.1.1.370	
sp|Q72GI1|TRMH_THET2	6.2e-46	23-168		a/b three-layered sandwiches	alpha/beta knot	alpha/beta knot	SpoU_methylase	2488.1.1.7	
sp|Q72J69|VATE_THET2	7.2e-36	5-70		extended segments	Helical region in V-type proton ATPase subunit E	Helical region in V-type proton ATPase subunit E	EUF08781	3464.1.1.6	
sp|Q72J69|VATE_THET2	6.7e-14	82-188		a+b two layers	FwdE/GAPDH domain-like	V-type ATPase subunit E	vATP-synt_E_C	298.4.1.4	
sp|Q72I16|RL5_THET2	7.2e-64	27-180		a+b two layers	Ribosomal protein L5	Ribosomal protein L5	Ribosomal_L5_C	882.1.1.5	
sp|P62665|RS5_THET2	1.4e-29	5-67		a+b two layers	dsRBD-like	dsRNA-binding domain-like	Ribosomal_S5	330.1.1.5	
sp|P62665|RS5_THET2	4.0e-37	74-153		a+b two layers	Ribosomal protein S5 domain 2-like	Ribosomal protein S5 domain 2-like	Ribosomal_S5_C	212.1.1.97	
sp|Q72IF0|UVRC_THET2	1.4e-08	97-125		a+b three layers	GIY-YIG endonuclease	GIY-YIG endonuclease	GIY-YIG_1	821.1.1.3	
sp|Q72IF0|UVRC_THET2	1.1e-13	236-268		alpha bundles	Long alpha-hairpin	C-terminal UvrC-binding domain of UvrB	UVR	192.11.1.1	
sp|Q72IF0|UVRC_THET2	1.2e-44	409-561		mixed a+b and a/b	Ribonuclease H-like	Ribonuclease H-like	UvrC_HhH_N	2484.1.1.68	
sp|Q72IF0|UVRC_THET2	3.7e-19	573-623		alpha arrays	HhH/H2TH	SAM domain-like	HHH_2_1	102.1.1.164	
sp|P61498|PYRE_THET2	6.0e-20	42-148		a/b three-layered sandwiches	PRTase-like	PRTase-like	Pribosyltran	7573.1.1.1	
sp|Q72I20|RL18_THET2	8.6e-48	6-112		mixed a+b and a/b	Ribonuclease H-like	Ribonuclease H-like	Ribosomal_L18p	2484.1.1.47	
sp|Q72IH5|TRMN_THET2	1.5e-25	24-62		a+b two layers	Alpha-beta plaits	Ferredoxin-like domain in ThiI	EUF08373	304.120.1.13	
sp|Q72IH5|TRMN_THET2	3.5e-20	72-148		a+b two layers	THUMP domain-like	THUMP domain-like	THUMP	4143.1.1.2	
sp|Q72IH5|TRMN_THET2	5.5e-21	170-301		a/b three-layered sandwiches	Rossmann-like	S-adenosyl-L-methionine-dependent methyltransferases	Methyltransf_11_2	2003.1.5.86	
sp|Q72HM1|RNY_THET2	1.5e-07	268-329		a+b two layers	Alpha-lytic protease prodomain-like	Eukaryotic type KH-domain (KH-domain type I)	KH_1	327.11.2.1	
sp|Q72HM1|RNY_THET2	4.5e-21	386-484		alpha complex topology	PDEase-like	HD-domain/PDEase-like	HD	131.1.1.2	
sp|Q72GU0|RLMH_THET2	6.2e-37	1-134		a/b three-layered sandwiches	alpha/beta knot	alpha/beta knot	SPOUT_MTase	2488.1.1.6	
sp|Q72HC1|RLMN_THET2	1.5e-13	21-56		alpha arrays	HhH/H2TH	SAM domain-like	PRK11194	102.1.1.35	
sp|Q72HC1|RLMN_THET2	4.4e-45	95-314		a/b barrels	TIM beta/alpha-barrel	TIM barrels	Radical_SAM	2002.1.1.166	
sp|Q72J23|RRAAH_THET2	8.8e-45	3-155		a/b three-layered sandwiches	The "swivelling" beta/beta/alpha domains	The "swivelling" beta/beta/alpha domain	RraA-like	2487.1.1.9	
sp|P61707|SYA_THET2	1.3e-97	3-254		a+b three layers	Class II aaRS and biotin synthetases	Class II aaRS and biotin synthetases	tRNA-synt_2c_1st	314.1.1.14	
sp|P61707|SYA_THET2	3.4e-69	256-439		alpha complex topology	Putative anticodon-binding domain of alanyl-tRNA synthetase (AlaRS)	Putative anticodon-binding domain of alanyl-tRNA synthetase (AlaRS)	tRNA-synt_2c_2nd	613.1.1.1	
sp|P61707|SYA_THET2	5.5e-14	475-561		beta barrels	cradle loop barrel	Alanine racemase-C	tRNA-synt_2c_3rd	1.1.7.56	
sp|P61707|SYA_THET2	3.8e-62	566-716		a+b two layers	LuxS, MPP, ThrRS/AlaRS common domain	ThrRS/AlaRS editing domain	tRNA_SAD	309.1.2.5	
sp|Q72L62|TDH_THET2	5.5e-53	1-157		beta barrels	GroES-like	Alcohol dehydrogenase-like, N-terminal domain	ADH_N	236.1.1.22	
sp|Q72L62|TDH_THET2	4.5e-07	153-202		a/b three-layered sandwiches	Rossmann-like	NAD(P)-binding Rossmann-fold domains	AlaDh_PNT_C	2003.1.1.12	
sp|Q72L62|TDH_THET2	2.7e-06	168-194		a/b barrels	TIM beta/alpha-barrel	TIM barrels	FAD_binding_3_1st	2002.1.1.1034	
sp|Q72I77|TRMB_THET2	1.4e-46	12-189		a/b three-layered sandwiches	Rossmann-like	S-adenosyl-L-methionine-dependent methyltransferases	Methyltransf_4	2003.1.5.39	
sp|Q72H91|SP0J_THET2	1.8e-33	25-98		a+b complex topology	ParB/Sulfiredoxin	ParB/Sulfiredoxin	ParBc	876.1.1.1	
sp|Q72H91|SP0J_THET2	1.1e-29	112-160		alpha arrays	HTH	tri-helical	HTH_38	101.1.1.19	
sp|Q72H91|SP0J_THET2	1.6e-07	128-153		alpha arrays	HTH	tri-helical	HTH_3_5	101.1.1.628	
sp|Q72H91|SP0J_THET2	7.6e-24	162-210		alpha arrays	KorB C-terminal domain-like	KorB C-terminal domain	nucleoid_noc	3317.1.1.2	
sp|Q72HA0|SYFB_THET2	9.6e-09	1-47,152-180	NC	alpha arrays	HTH	Putative DNA-binding domain	pheT	101.1.9.91	
sp|Q72HA0|SYFB_THET2	1.7e-20	44-139	IS	beta barrels	OB-fold	Nucleic acid-binding proteins	tRNA_bind_1	2.1.1.108	
sp|Q72HA0|SYFB_THET2	1.6e-73	201-388		beta complex topology	PheT/TilS domain	PheT/TilS domain	B3_4	865.1.1.1	
sp|Q72HA0|SYFB_THET2	4.2e-24	403-470		alpha arrays	HTH	Putative DNA-binding domain	B5	101.1.9.1	
sp|Q72HA0|SYFB_THET2	1.4e-50	496-675		a+b three layers	Class II aaRS and biotin synthetases	Class II aaRS and biotin synthetases	tRNA-synt_2d_1	314.1.1.21	
sp|Q72HA0|SYFB_THET2	1.3e-27	684-775		a+b two layers	Alpha-beta plaits	Anticodon-binding domain of PheRS	FDX-ACB	304.18.1.1	
sp|Q72I97|Y1235_THET2	3.9e-25	4-92		a+b two layers	Ribonuclease PH domain 2-like	YbaB	YbaB_DNA_bd	245.2.1.1	
sp|Q72H00|PSP_THET2	1.2e-45	2-50,87-243	NC	a/b three-layered sandwiches	HAD domain-like	HAD-like	HAD_2	2006.1.1.6	
sp|Q72JU9|RL19_THET2	1.5e-48	6-111		beta barrels	SH3	SH3	Ribosomal_L19	4.1.1.57	
sp|Q72I09|RL22_THET2	8.1e-49	1-110		a+b two layers	Enolase-N/ribosomal protein	Ribosomal protein L22	Ribosomal_L22	218.2.1.1	
sp|P62664|RS4_THET2	3.1e-72	50-209		a+b two layers	beta-Grasp	Alpha-L RNA-binding motif	S4	221.1.2.19	
