Gene	AA Sequence	Superfam ID	Superfam Name	Fold Name
    	111-149	57716	Glucocorticoid receptor-like (DNA-binding domain):	Glucocorticoid receptor-like (DNA-binding domain)
rpmI	2-64	143034	L35p-like:	L35p-like
rpsQ	5-82	50249	Nucleic acid-binding proteins:	OB-fold
rplB	126-269	50104	Translation proteins SH3-like domain:	SH3-like barrel
    	3-125	50249	Nucleic acid-binding proteins:	OB-fold
crp	8-136	51206	cAMP-binding domain-like:	Double-stranded beta-helix
    	142-206	46785	"Winged helix" DNA-binding domain:	DNA/RNA-binding 3-helical bundle
lrp	74-157	54909	Dimeric alpha+beta barrel:	Ferredoxin-like
    	12-70	46785	"Winged helix" DNA-binding domain:	DNA/RNA-binding 3-helical bundle
thrA	1-296	53633	Carbamate kinase-like:	Carbamate kinase-like
    	614-798	55347	Glyceraldehyde-3-phosphate dehydrogenase-like, C-terminal domain:	FwdE/GAPDH domain-like
    	464-636	51735	NAD(P)-binding Rossmann-fold domains:	NAD(P)-binding Rossmann-fold domains
    	303-381	55021	ACT-like:	Ferredoxin-like
    	383-476	55021	ACT-like:	Ferredoxin-like
dnaK	187-382	53067	Actin-like ATPase domain:	Ribonuclease H-like motif
    	4-183	53067	Actin-like ATPase domain:	Ribonuclease H-like motif
    	384-539	100920	Heat shock protein 70kD (HSP70), peptide-binding domain:	Heat shock protein 70kD (HSP70), peptide-binding domain
   F	507-602	100934	Heat shock protein 70kD (HSP70), C-terminal subdomain:	immunoglobulin/albumin-binding domain-like
rpsT	3-86	46992	Ribosomal protein S20:	Spectrin repeat-like
fkpB	5-143	54534	FKBP-like:	FKBP-like
caiA	1-227	56645	Acyl-CoA dehydrogenase NM domain-like:	Acyl-CoA dehydrogenase NM domain-like
    	226-379	47203	Acyl-CoA dehydrogenase C-terminal domain-like:	Bromodomain-like
fixC	4-183,283-366	51905	FAD/NAD(P)-binding domain:	FAD/NAD(P)-binding domain
    	181-283	54373	FAD-linked reductases, C-terminal domain:	FAD-linked reductases, C-terminal domain
fixX	40-90	54862	4Fe-4S ferredoxins:	Ferredoxin-like
kefF	2-170	52218	Flavoproteins:	Flavodoxin-like
folA	1-158	53597	Dihydrofolate reductase-like:	Dihydrofolate reductase-like
apaG	5-125	110069	ApaG-like:	Immunoglobulin-like beta-sandwich
surA	25-201	109998	Triger factor/SurA peptide-binding domain-like:	Triger factor/SurA peptide-binding domain-like
    	283-385	54534	FKBP-like:	FKBP-like
   F	173-275	54534	FKBP-like:	FKBP-like
cra	60-314	53822	Periplasmic binding protein-like I:	Periplasmic binding protein-like I
    	2-58	47413	lambda repressor-like DNA-binding domains:	lambda repressor-like DNA-binding domains
ftsA	8-221	53067	Actin-like ATPase domain:	Ribonuclease H-like motif
    	198-384	53067	Actin-like ATPase domain:	Ribonuclease H-like motif
ftsZ	12-207	52490	Tubulin nucleotide-binding domain-like:	Tubulin nucleotide-binding domain-like
    	203-319	55307	Tubulin C-terminal domain-like:	Bacillus chorismate mutase-like
lpxC	136-285	54211	Ribosomal protein S5 domain 2-like:	Ribosomal protein S5 domain 2-like
    	3-132	54211	Ribosomal protein S5 domain 2-like:	Ribosomal protein S5 domain 2-like
yacG	2-62	57716	Glucocorticoid receptor-like (DNA-binding domain):	Glucocorticoid receptor-like (DNA-binding domain)
guaC	6-336	51412	Inosine monophosphate dehydrogenase (IMPDH):	TIM beta/alpha-barrel
pdhR	6-76	46785	"Winged helix" DNA-binding domain:	DNA/RNA-binding 3-helical bundle
    	95-234	48008	GntR ligand-binding domain-like:	GntR ligand-binding domain-like
aceE	58-469	52518	Thiamin diphosphate-binding fold (THDP-binding):	Thiamin diphosphate-binding fold (THDP-binding)
    	474-701	52518	Thiamin diphosphate-binding fold (THDP-binding):	Thiamin diphosphate-binding fold (THDP-binding)
    	702-885	52922	TK C-terminal domain-like:	TK C-terminal domain-like
lpd	2-338	51905	FAD/NAD(P)-binding domain:	FAD/NAD(P)-binding domain
    	347-459	55424	FAD/NAD-linked reductases, dimerisation (C-terminal) domain:	CO dehydrogenase flavoprotein C-domain-like
hpt	3-173	53271	PRTase-like:	PRTase-like
can	5-207	53056	beta-carbonic anhydrase, cab:	Resolvase-like
panD	1-123	50692	ADC-like:	Double psi beta-barrel
clcA	15-453	81340	Clc chloride channel:	Clc chloride channel
erpA	8-103	89360	HesB-like domain:	HesB-like domain
mtn	1-229	53167	Purine and uridine phosphorylases:	Phosphorylase/hydrolase-like
map	3-249	55920	Creatinase/aminopeptidase:	Creatinase/aminopeptidase
rpsB	6-235	52313	Ribosomal protein S2:	Flavodoxin-like
tsf	142-281	54713	Elongation factor Ts (EF-Ts), dimerisation domain:	EF-Ts domain-like
    	56-139	54713	Elongation factor Ts (EF-Ts), dimerisation domain:	EF-Ts domain-like
    	4-54	46934	UBA-like:	RuvA C-terminal domain-like
pyrH	7-240	53633	Carbamate kinase-like:	Carbamate kinase-like
frr	4-184	55194	Ribosome recycling factor, RRF:	RRF/tRNA synthetase additional domain-like
ispU	19-245	64005	Undecaprenyl diphosphate synthase:	Undecaprenyl diphosphate synthase
fabZ	10-149	54637	Thioesterase/thiol ester dehydrase-isomerase:	Thioesterase/thiol ester dehydrase-isomerase
lpxA	9-262	51161	Trimeric LpxA-like enzymes:	Single-stranded left-handed beta-helix
metQ	33-271	53850	Periplasmic binding protein-like II:	Periplasmic binding protein-like II
yafD	44-260	56219	DNase I-like:	DNase I-like
mltD	99-249	53955	Lysozyme-like:	Lysozyme-like
    	341-384	54106	LysM domain:	LysM domain
    	400-443	54106	LysM domain:	LysM domain
yafJ	2-253	56235	N-terminal nucleophile aminohydrolases (Ntn hydrolases):	Ntn hydrolase-like
yafK	42-159	141523	L,D-transpeptidase catalytic domain-like:	L,D-transpeptidase catalytic domain-like
proB	6-256	53633	Carbamate kinase-like:	Carbamate kinase-like
    	276-365	88697	PUA domain-like:	PUA domain-like
ykgO	1-41	57840	Ribosomal protein L36:	Ribosomal protein L36
ykgM	1-80	143800	L28p-like:	L28p-like
lacY	6-401	103473	MFS general substrate transporter:	MFS general substrate transporter
hemB	4-319	51569	Aldolase:	TIM beta/alpha-barrel
ddlA	140-354	56059	Glutathione synthetase ATP-binding domain-like:	ATP-grasp
    	3-139	52440	PreATP-grasp domain:	PreATP-grasp domain
aroL	4-170	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
ppnP	1-94	51182	RmlC-like cupins:	Double-stranded beta-helix
phoB	3-184	52172	CheY-like:	Flavodoxin-like
tgt	1-364	51713	tRNA-guanine transglycosylase:	TIM beta/alpha-barrel
secF	79-303	82866	Multidrug efflux transporter AcrB transmembrane domain:	Multidrug efflux transporter AcrB transmembrane domain
tsx	32-294	111364	Tsx-like channel:	Transmembrane beta-barrels
nusB	3-134	48013	NusB-like:	NusB-like
xseB	3-73	116842	XseB-like:	Spectrin repeat-like
cyoB	43-560	81442	Cytochrome c oxidase subunit I-like:	Cytochrome c oxidase subunit I-like
bolA	1-89	82657	BolA-like:	Alpha-lytic protease prodomain-like
tig	248-429	109998	Triger factor/SurA peptide-binding domain-like:	Triger factor/SurA peptide-binding domain-like
    	1-131	102735	Trigger factor ribosome-binding domain:	Ribosome binding domain-like
   F	97-241	54534	FKBP-like:	FKBP-like
clpP	17-204	52096	ClpP/crotonase:	ClpP/crotonase
clpX	64-403	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
    	13-48	57716	Glucocorticoid receptor-like (DNA-binding domain):	Glucocorticoid receptor-like (DNA-binding domain)
lon	595-771	54211	Ribosomal protein S5 domain 2-like:	Ribosomal protein S5 domain 2-like
    	10-201	88697	PUA domain-like:	PUA domain-like
    	313-587	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
hupB	1-90	47729	IHF-like DNA-binding proteins:	IHF-like DNA-binding proteins
decR	62-151	54909	Dimeric alpha+beta barrel:	Ferredoxin-like
    	1-61	46785	"Winged helix" DNA-binding domain:	DNA/RNA-binding 3-helical bundle
glnK	1-112	54913	GlnB-like:	Ferredoxin-like
ybaA	1-116	54909	Dimeric alpha+beta barrel:	Ferredoxin-like
hha	8-72	68989	Hemolysin expression modulating protein HHA:	Open three-helical up-and-down bundle
apt	12-180	53271	PRTase-like:	PRTase-like
ybaB	9-95	82607	YbaB-like:	YbaB-like
recR	2-199	111304	Recombination protein RecR:	Recombination protein RecR
gsk	36-305,338-416	53613	Ribokinase-like:	Ribokinase-like
ybaK	2-155	55826	YbaK/ProRS associated domain:	YbaK/ProRS associated domain
ybaQ	11-88	47413	lambda repressor-like DNA-binding domains:	lambda repressor-like DNA-binding domains
allR	86-266	55781	GAF domain-like:	Profilin-like
    	22-94	46785	"Winged helix" DNA-binding domain:	DNA/RNA-binding 3-helical bundle
ybcJ	7-69	55174	Alpha-L RNA-binding motif:	Alpha-L RNA-binding motif
cusR	1-118	52172	CheY-like:	Flavodoxin-like
    	126-223	46894	C-terminal effector domain of the bipartite response regulators:	DNA/RNA-binding 3-helical bundle
ybdG	187-253	50182	Sm-like ribonucleoproteins:	Sm-like fold
    	317-395	82689	Mechanosensitive channel protein MscS (YggB), C-terminal domain:	Ferredoxin-like
ahpC	4-180	52833	Thioredoxin-like:	Thioredoxin fold
rnk	53-123	54534	FKBP-like:	FKBP-like
citE	11-244	51621	Phosphoenolpyruvate/pyruvate domain:	TIM beta/alpha-barrel
dpiA	4-179	52172	CheY-like:	Flavodoxin-like
cspE	3-68	50249	Nucleic acid-binding proteins:	OB-fold
lipA	52-316	102114	Radical SAM enzymes:	TIM beta/alpha-barrel
lipB	4-204	55681	Class II aaRS and biotin synthetases:	Class II aaRS and biotin synthetases
ybeD	1-87	117991	YbeD/HP0495-like:	Ferredoxin-like
dacA	10-292	56601	beta-lactamase/transpeptidase-like:	beta-lactamase/transpeptidase-like
    	292-385	69189	Penicillin-binding protein associated domain:	Penicillin-binding protein associated domain
mrdA	254-611	56601	beta-lactamase/transpeptidase-like:	beta-lactamase/transpeptidase-like
    	56-253	56519	Penicillin binding protein dimerisation domain:	Penicillin binding protein dimerisation domain
rlmH	1-153	75217	alpha/beta knot:	alpha/beta knot
rsfS	2-105	81301	Nucleotidyltransferase:	Nucleotidyltransferase
nadD	6-212	52374	Nucleotidylyl transferase:	Adenine nucleotide alpha hydrolase-like
gltK	14-210	161098	MetI-like:	MetI-like
ybeX	205-279	56176	FAD-binding/transporter-associated domain-like:	FAD-binding/transporter-associated domain-like
    	66-202	54631	CBS-domain pair:	CBS-domain pair
umpH	4-246	56784	HAD-like:	HAD-like
nagC	88-394	53067	Actin-like ATPase domain:	Ribonuclease H-like motif
    	14-79	46785	"Winged helix" DNA-binding domain:	DNA/RNA-binding 3-helical bundle
nagB	1-263	100950	NagB/RpiA/CoA transferase-like:	NagB/RpiA/CoA transferase-like
fur	6-134	46785	"Winged helix" DNA-binding domain:	DNA/RNA-binding 3-helical bundle
fldA	5-170	52218	Flavoproteins:	Flavodoxin-like
ybfE	51-86	47598	Ribbon-helix-helix:	Ribbon-helix-helix
seqA	65-181	82808	Replication modulator SeqA, C-terminal DNA-binding domain:	Replication modulator SeqA, C-terminal DNA-binding domain
    	1-35	47598	Ribbon-helix-helix:	Ribbon-helix-helix
ybgI	1-242	102705	NIF3 (NGG1p interacting factor 3)-like:	NIF3 (NGG1p interacting factor 3)-like
gltA	9-423	48256	Citrate synthase:	Citrate synthase
sdhD	11-110	81343	Fumarate reductase respiratory complex transmembrane subunits:	Heme-binding four-helical bundle
sucB	175-404	52777	CoA-dependent acyltransferases:	CoA-dependent acyltransferases
    	2-95	51230	Single hybrid motif:	Barrel-sandwich hybrid
    	106-151	47005	Peripheral subunit-binding domain of 2-oxo acid dehydrogenase complex:	Peripheral subunit-binding domain of 2-oxo acid dehydrogenase complex
ybgC	6-134	54637	Thioesterase/thiol ester dehydrase-isomerase:	Thioesterase/thiol ester dehydrase-isomerase
tolB	155-428	69304	Tricorn protease N-terminal domain:	6-bladed beta-propeller
    	29-161	52964	TolB, N-terminal domain:	Anticodon-binding domain-like
gpmA	4-247	53254	Phosphoglycerate mutase-like:	Phosphoglycerate mutase-like
ybhH	2-167	54506	Diaminopimelate epimerase-like:	Diaminopimelate epimerase-like
    	170-350	54506	Diaminopimelate epimerase-like:	Diaminopimelate epimerase-like
bioB	6-313	102114	Radical SAM enzymes:	TIM beta/alpha-barrel
uvrB	3-415	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
    	37-82,459-581	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
    	624-669	46600	C-terminal UvrC-binding domain of UvrB:	Long alpha-hairpin
moaB	7-168	53218	Molybdenum cofactor biosynthesis proteins:	Molybdenum cofactor biosynthesis proteins
moaC	4-155	55040	Molybdenum cofactor biosynthesis protein C, MoaC:	Ferredoxin-like
clsB	4-163	56024	Phospholipase D/nuclease:	Phospholipase D/nuclease
    	188-358	56024	Phospholipase D/nuclease:	Phospholipase D/nuclease
ybhP	8-251	56219	DNase I-like:	DNase I-like
glnP	13-202	161098	MetI-like:	MetI-like
glnH	7-245	53850	Periplasmic binding protein-like II:	Periplasmic binding protein-like II
dps	10-167	47240	Ferritin-like:	Ferritin-like
ompX	27-171	56925	OMPA-like:	Transmembrane beta-barrels
mntR	95-150	47979	Iron-dependent repressor protein, dimerization domain:	Iron-dependent repressor protein, dimerization domain
    	48-117	46785	"Winged helix" DNA-binding domain:	DNA/RNA-binding 3-helical bundle
ldtB	99-149,177-233	141523	L,D-transpeptidase catalytic domain-like:	L,D-transpeptidase catalytic domain-like
ybiT	298-523	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
    	6-237	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
rimO	107-371	102114	Radical SAM enzymes:	TIM beta/alpha-barrel
mdfA	21-399	103473	MFS general substrate transporter:	MFS general substrate transporter
ybjL	291-374	116726	TrkA C-terminal domain-like:	TrkA C-terminal domain-like
    	227-282	116726	TrkA C-terminal domain-like:	TrkA C-terminal domain-like
rimK	98-288	56059	Glutathione synthetase ATP-binding domain-like:	ATP-grasp
artM	6-201	161098	MetI-like:	MetI-like
artQ	8-216	161098	MetI-like:	MetI-like
artP	3-232	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
ybjQ	1-106	117782	YbjQ-like:	Dodecin subunit-like
cspD	1-66	50249	Nucleic acid-binding proteins:	OB-fold
clpA	437-748	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
    	169-426	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
    	1-141	81923	Double Clp-N motif:	Double Clp-N motif
serS	116-424	55681	Class II aaRS and biotin synthetases:	Class II aaRS and biotin synthetases
    	1-112	46589	tRNA-binding arm:	Long alpha-hairpin
pflA	23-217	102114	Radical SAM enzymes:	TIM beta/alpha-barrel
cmk	7-219	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
rpsA	274-348	50249	Nucleic acid-binding proteins:	OB-fold
    	187-260	50249	Nucleic acid-binding proteins:	OB-fold
    	363-436	50249	Nucleic acid-binding proteins:	OB-fold
    	429-535	50249	Nucleic acid-binding proteins:	OB-fold
    	1-112	50249	Nucleic acid-binding proteins:	OB-fold
    	107-172	50249	Nucleic acid-binding proteins:	OB-fold
ycaR	1-55	158997	Trm112p-like:	Trm112p-like
ycbK	68-182	55166	Hedgehog/DD-peptidase:	Hedgehog/DD-peptidase
asnS	98-464	55681	Class II aaRS and biotin synthetases:	Class II aaRS and biotin synthetases
    	16-101	50249	Nucleic acid-binding proteins:	OB-fold
hspQ	4-95	141255	YccV-like:	SH3-like barrel
hyaA	46-310	56770	HydA/Nqo6-like:	HydA/Nqo6-like
etp	5-146	52788	Phosphotyrosine protein phosphatases I:	Phosphotyrosine protein phosphatases I-like
cspH	3-69	50249	Nucleic acid-binding proteins:	OB-fold
cspG	3-69	50249	Nucleic acid-binding proteins:	OB-fold
wrbA	1-196	52218	Flavoproteins:	Flavodoxin-like
rutC	3-126	55298	YjgF-like:	Bacillus chorismate mutase-like
rutR	87-212	48498	Tetracyclin repressor-like, C-terminal domain:	Tetracyclin repressor-like, C-terminal domain
    	19-78	46689	Homeodomain-like:	DNA/RNA-binding 3-helical bundle
ycdY	2-180	89155	TorD-like:	TorD-like
csgG	77-189	52964	TolB, N-terminal domain:	Anticodon-binding domain-like
ymdB	3-172	52949	Macro domain-like:	Macro domain-like
yceI	25-190	101874	YceI-like:	Streptavidin-like
dinI	1-80	54857	DNA damage-inducible protein DinI:	DNA damage-inducible protein DinI
mdtH	12-392	103473	MFS general substrate transporter:	MFS general substrate transporter
flgG	93-222	117143	Flagellar hook protein flgE:	Flagellar hook protein flgE
yceF	1-185	52972	ITPase-like:	Anticodon-binding domain-like
fabH	4-166	53901	Thiolase-like:	Thiolase-like
    	155-316	53901	Thiolase-like:	Thiolase-like
fabD	4-122,190-308	52151	FabD/lysophospholipase-like:	FabD/lysophospholipase-like
    	128-197	55048	Probable ACP-binding domain of malonyl-CoA ACP transacylase:	Ferredoxin-like
fabG	3-241	51735	NAD(P)-binding Rossmann-fold domains:	NAD(P)-binding Rossmann-fold domains
fabF	3-252	53901	Thiolase-like:	Thiolase-like
   F	215-412	53901	Thiolase-like:	Thiolase-like
ycfH	1-259	51556	Metallo-dependent hydrolases:	TIM beta/alpha-barrel
ptsG	401-474	55604	Glucose permease domain IIB:	Homing endonuclease-like
hinT	5-107	54197	HIT-like:	HIT-like
ycfP	2-176	53474	alpha/beta-Hydrolases:	alpha/beta-Hydrolases
bhsA	3-85	159871	YdgH-like:	Dodecin subunit-like
potC	3-254	161098	MetI-like:	MetI-like
potA	17-258	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
    	250-364	50331	MOP-like:	OB-fold
purB	10-454	48557	L-aspartase-like:	L-aspartase-like
nudJ	4-127	55811	Nudix:	Nudix
minE	32-85	55229	Cell division protein MinE topological specificity domain:	Cell division protein MinE topological specificity domain
minD	1-268	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
fadR	79-230	48008	GntR ligand-binding domain-like:	GntR ligand-binding domain-like
    	11-88	46785	"Winged helix" DNA-binding domain:	DNA/RNA-binding 3-helical bundle
pth	3-192	53178	Peptidyl-tRNA hydrolase-like:	Phosphorylase/hydrolase-like
prs	69-306	53271	PRTase-like:	PRTase-like
kdsA	8-275	51569	Aldolase:	TIM beta/alpha-barrel
ychN	1-117	75169	DsrEFH-like:	DsrEFH-like
narK	20-460	103473	MFS general substrate transporter:	MFS general substrate transporter
galU	10-71,105-275	53448	Nucleotide-diphospho-sugar transferases:	Nucleotide-diphospho-sugar transferases
hns	2-58	81273	H-NS histone-like proteins:	H-NS histone-like proteins
    	93-136	81273	H-NS histone-like proteins:	H-NS histone-like proteins
oppB	89-291	161098	MetI-like:	MetI-like
yciU	3-109	102816	Putative dsDNA mimic:	Cystatin-like
clsA	273-473	56024	Phospholipase D/nuclease:	Phospholipase D/nuclease
    	66-315	56024	Phospholipase D/nuclease:	Phospholipase D/nuclease
yciI	1-98	54909	Dimeric alpha+beta barrel:	Ferredoxin-like
yciA	7-130	54637	Thioesterase/thiol ester dehydrase-isomerase:	Thioesterase/thiol ester dehydrase-isomerase
yciO	1-204	55821	YrdC/RibB:	YrdC/RibB
cysB	91-322	53850	Periplasmic binding protein-like II:	Periplasmic binding protein-like II
    	1-85	46785	"Winged helix" DNA-binding domain:	DNA/RNA-binding 3-helical bundle
ribA	4-169	142695	RibA-like:	RibA-like
lapB	105-280	48452	TPR-like:	alpha-alpha superhelix
    	42-134	48452	TPR-like:	alpha-alpha superhelix
sapF	5-251	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
sapD	3-264	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
sapC	90-277	161098	MetI-like:	MetI-like
tpx	4-164	52833	Thioredoxin-like:	Thioredoxin fold
uspE	4-153	52402	Adenine nucleotide alpha hydrolases-like:	Adenine nucleotide alpha hydrolase-like
    	155-307	52402	Adenine nucleotide alpha hydrolases-like:	Adenine nucleotide alpha hydrolase-like
fnr	23-162	51206	cAMP-binding domain-like:	Double-stranded beta-helix
    	165-246	46785	"Winged helix" DNA-binding domain:	DNA/RNA-binding 3-helical bundle
zntB	8-255	143865	CorA soluble domain-like:	CorA soluble domain-like
    	263-324	144083	Magnesium transport protein CorA, transmembrane region:	Transmembrane helix hairpin
ydcV	6-257	161098	MetI-like:	MetI-like
glsB	7-308	56601	beta-lactamase/transpeptidase-like:	beta-lactamase/transpeptidase-like
ydfH	87-216	48008	GntR ligand-binding domain-like:	GntR ligand-binding domain-like
    	7-104	46785	"Winged helix" DNA-binding domain:	DNA/RNA-binding 3-helical bundle
ynfG	3-198	54862	4Fe-4S ferredoxins:	Ferredoxin-like
mdtI	12-108	103481	Multidrug resistance efflux transporter EmrE:	Multidrug resistance efflux transporter EmrE
fumA	361-536	117457	FumA C-terminal domain-like:	The "swivelling" beta/beta/alpha domain
cnu	4-70	68989	Hemolysin expression modulating protein HHA:	Open three-helical up-and-down bundle
nth	3-208	48150	DNA-glycosylase:	DNA-glycosylase
pdxH	21-218	50475	FMN-binding split barrel:	Split barrel-like
gloA	1-125	54593	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase:	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase
grxD	6-102	52833	Thioredoxin-like:	Thioredoxin fold
sodB	84-192	54719	Fe,Mn superoxide dismutase (SOD), C-terminal domain:	Fe,Mn superoxide dismutase (SOD), C-terminal domain
    	1-84	46609	Fe,Mn superoxide dismutase (SOD), N-terminal domain:	Long alpha-hairpin
cfa	117-373	53335	S-adenosyl-L-methionine-dependent methyltransferases:	S-adenosyl-L-methionine-dependent methyltransferases
ribC	1-87	63380	Riboflavin synthase domain-like:	Reductase/isomerase/elongation factor common domain
    	99-185	63380	Riboflavin synthase domain-like:	Reductase/isomerase/elongation factor common domain
pykF	1-74,156-340	51621	Phosphoenolpyruvate/pyruvate domain:	TIM beta/alpha-barrel
    	323-469	52935	PK C-terminal domain-like:	Pyruvate kinase C-terminal domain-like
    	70-166	50800	PK beta-barrel domain-like:	PK beta-barrel domain-like
lpp	24-74	58042	Outer membrane lipoprotein:	Parallel coiled-coil
ydiO	1-227	56645	Acyl-CoA dehydrogenase NM domain-like:	Acyl-CoA dehydrogenase NM domain-like
    	226-381	47203	Acyl-CoA dehydrogenase C-terminal domain-like:	Bromodomain-like
ppsA	7-386	56059	Glutathione synthetase ATP-binding domain-like:	ATP-grasp
    	467-790	51621	Phosphoenolpyruvate/pyruvate domain:	TIM beta/alpha-barrel
   F	350-468	52009	Phosphohistidine domain:	The "swivelling" beta/beta/alpha domain
infC	90-179	55200	Translation initiation factor IF3, C-terminal domain:	IF3-like
    	13-86	54364	Translation initiation factor IF3, N-terminal domain:	beta-Grasp (ubiquitin-like)
thrS	241-531	55681	Class II aaRS and biotin synthetases:	Class II aaRS and biotin synthetases
