Gene	Frame ID	Synonyms	Location	Complex	Cofactors	Essentiality (Lb Lennox)	Copy Number in Neidhardt EZ rich defined medium (molecules/cell)	Molecular Weight (from nucleotide sequece)	Mass (fg)	Overall # of Subunits	Unique Subunits	pI
rplR	EG10879	None	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	109512	12.77	2.322211109	38	35	10.695
rplS	EG10880	None	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	155640	13.133	3.394175209	38	35	10.902
rplT	EG10881	pdzA	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	114460	13.497	2.565311335	38	35	11.684
rplU	EG50001	None	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	147570	11.564	2.833709009	38	35	10.143
rplV	EG10882	eryB	"ribosome, cytosol"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	133394	12.226	2.708131681	38	35	10.558
rplW	EG10883	None	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	103687	11.199	1.928202512	38	35	10.269
rplX	EG10884	None	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	79197	11.316	1.488163883	38	35	10.559
rplY	EG10885	None	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	Growth	137338	10.693	2.438593299	38	35	9.871
rpmA	EG50002	rpz	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	139118	9.124	2.10774318	38	35	10.884
rpmB	EG10886	None	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	177562	9.006	2.65540679	38	35	11.624
rpmC	EG10887	None	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	122129	7.273	1.4749642	38	35	10.326
rpmD	EG10888	None	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	110113	6.542	1.196184651	38	35	11.211
rpmE	EG10889	None	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	Growth	181267	7.871	2.369178322	38	35	9.588
rpmF	EG10890	None	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	Growth	196317	6.446	2.101344708	38	35	11.291
rpmG	EG10891	None	"ribosome, cytosol"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	Growth	153443	6.372	1.623573442	38	35	10.576
rpmH	EG10892	rimA; ssaF	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	195605	5.38	1.747476396	38	35	13.157
rpmI	EG11231	50S ribosomal subunit protein A; X1 protein	"ribosome, cytosol"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	Growth	161842	7.289	1.958882009	38	35	12.003
rpmJ	EG11232	secX; 50S ribosomal subunit protein B	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	Growth	118492	4.364	0.858663223	38	35	10.978
rrfA	EG30070	rrfA 5S ribosomal RNA; 5S rRNA	Unknown	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Info Available	No Info Available	No Info Available	No Info Available	38	35	No Info Available
rrlA	EG30077	rrlA 23S ribosomal RNA; 23S rRNA	Unknown	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Info Available	No Info Available	No Info Available	No Info Available	38	35	No Info Available
sucA	EG10979	lys+met; Lys; E1(o) subunit	cytosol	"'SucA.12.', 'SucB.24.', 'Lpd.2.'"	"thiamine diphosphate , Mg2+ "	Growth	3431	105.06	0.598559331	38	3	6.179
